"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6856","@Webst Client App login","","2026-06-18","passed","2026-06-18","","PracticeUI.spec.js","",""
"","8112","@Web End to end testing for ADIDAS ORIGINAL","","2026-06-18","passed","2026-06-18","","ClientAppPO.spec.js","",""
